:START_ID,:END_ID,:TYPE
DIM_AB001016_1911_BULGARIAN_AND_RUMANIAN,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB001016_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB001017_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_BELGIAN,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB001018_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BELGIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_BULGARIAN_AND_RUMANIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_JEWISH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_NEGRO,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002001_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002002_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002003_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002004_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_BELGIAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_GREEK,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_NEGRO,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002005_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BELGIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_BULGARIAN_AND_RUMANIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_GREEK,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_JAPANESE,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_JEWISH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_NEGRO,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002006_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_BELGIAN,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_DUTCH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_ITALIAN,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_SWISS,UNIT_COUNT,P91_has_unit
DIM_AB002007_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_FRENCH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_GERMAN,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_AUSTRO_HUNGARIAN,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_CHINESE,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_INDIAN,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_JEWISH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_POLISH,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_RUSSIAN,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_SCANDINAVIAN,UNIT_COUNT,P91_has_unit
DIM_AB002008_1911_UNSPECIFIED,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_CSD_TYPE,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_BRIT_ENGLISH,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_BRIT_IRISH,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_BRIT_SCOTCH,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_BRIT_OTHER,UNIT_COUNT,P91_has_unit
DIM_AB002009_1911_FRENCH,UNIT_COUNT,P91_has_unit
