old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_AB001007,PLACE_AB194031,AB,Acme vl (T29 R5 MW4),"Acme, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001008,PLACE_AB194032,AB,Airdrie vl (T27 R1 MW5),"Airdrie, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001010,PLACE_AB194025,AB,Banff vl (T26 R12 MW5),Banff (not inc),1911,1911;1921,registry_diff,registry_diff
PLACE_AB001013,PLACE_AB194035,AB,Carstairs vl (T30 R1 MW5),"Carstairs, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001014,PLACE_AB194036,AB,Cochrane vl (T26 R4 MW5),"Cochrane, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001015,PLACE_AB194037,AB,Crossfield vl (T28 R1 MW5),"Crossfield, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001017,PLACE_AB194039,AB,Langdon vl (T23 R27 MW4),"Langdon, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB001018,PLACE_AB194030,AB,Strathmore vl (T24 R25 MW4),"Strathmore, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB002004,PLACE_AB199015,AB,Indian Reserves,Indian reserves,1911,1911;1921,registry_diff,registry_diff
PLACE_AB002007,PLACE_AB199021,AB,St. Albert t-v,"St. Albert, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB002008,PLACE_AB199022,AB,Stony Plain t-v,"Stony Plain, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB002012,PLACE_AB200024,AB,Edson vl (T53 R17 MW5),"Edson, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB002014,PLACE_AB200025,AB,Entwhistle vl (T53 R7 MW5),"Entwistle, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB002015,PLACE_AB199020,AB,Morinville vl (T55 R25 MW4),"Morinville, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003004,PLACE_AB190021,AB,Claresholm t-v,"Claresholm, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003005,PLACE_AB192018,AB,High River t-v,"High River, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003006,PLACE_AB190025,AB,Macleod t-v,"Macleod, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003007,PLACE_AB192019,AB,Nanton t-v,"Nanton, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003008,PLACE_AB192020,AB,Okotoks t-v,"Okotoks, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003009,PLACE_AB190027,AB,Pincher Creek t-v,"Pincher Creek, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003010,PLACE_AB190019,AB,Blairmore vl (T7 R4 MW5),"Blairmore, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003011,PLACE_AB192023,AB,Barons vl (T12 R23 MW4),"Barons, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003013,PLACE_AB192017,AB,Carmangay vl (T13 R23 MW4),"Carmangay, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003014,PLACE_AB192025,AB,Cayley vl (T7 R28 MW4),"Cayley, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003015,PLACE_AB190022,AB,Coleman vl (T8 R4 MW5),"Coleman, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003016,PLACE_AB190032,AB,Cowley vl (T7 R1 MW5),"Cowley, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003017,PLACE_AB190033,AB,Frank vl (T7 R3 MW5),"Frank, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003018,PLACE_AB190024,AB,Granum vl (T10 R26 MW4),"Granum, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003022,PLACE_AB190035,AB,Pincher City vl (T7 R3 MW4),"Pincher City, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB003023,PLACE_AB192021,AB,Stavely vl (T14 R27 MW4),"Staveley, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004003,PLACE_AB190018,AB,Lethbridge c,"Lethbridge, C",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004004_1911,PLACE_AB189023,AB,Medicine Hat c,"Medicine Hat, C",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004005,PLACE_AB190020,AB,Cardston t-v,"Cardston, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004006,PLACE_AB190026,AB,Magrath t-v,"Magrath, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004007,PLACE_AB190028,AB,Raymond t-v,"Raymond, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004008,PLACE_AB189026,AB,Taber t-v,"Taber, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004010,PLACE_AB191021,AB,Bassano vl (T21 R18 MW4),"Bassano, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004011,PLACE_AB189024,AB,Bow Island vl (T10 R11 MW4),"Bow Island, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004012,PLACE_AB191022,AB,Brooks vl (T18 R14 MW4),"Brooks, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004013,PLACE_AB190023,AB,Diamond City vl (T10 R21 MW4),"Diamond City, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004014,PLACE_AB194028,AB,Gleichen vl (T22 R4 MW4),"Gleichen, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004015,PLACE_AB189028,AB,Grassy Lake vl (T10 R13 MW4),"Grassy Lake, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004016,PLACE_AB189025,AB,Irvine vl (T11 R2 MW4),"Irvine, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004018,PLACE_AB193032,AB,Munson vl (T30 R20 MW4),"Munson, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004020,PLACE_AB191023,AB,Redcliffe vl (T13 R6 MW4),"Redcliffe, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004022,PLACE_AB190036,AB,Sterling vl (T6 R19 MW4),"Stirling, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB004023,PLACE_AB189031,AB,Warner vl (T4 R17 MW4),"Warner, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005004,PLACE_AB194027,AB,Didsbury t-v,"Didsbury, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005005,PLACE_AB196027,AB,Innisfail t-v,"Innisfail, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005006,PLACE_AB196028,AB,Lacombe t-v,"Lacombe, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005007,PLACE_AB194029,AB,Olds t-v,"Olds, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005008,PLACE_AB196029,AB,Ponoka t-v,"Ponoka, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005009,PLACE_AB196022,AB,Red Deer t-v,"Red Deer, C",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005010,PLACE_AB196030,AB,Stettler t-v,"Stettler, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005011,PLACE_AB196031,AB,Alix vl (T39 R23 MW4),"Alix, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005012,PLACE_AB196035,AB,Blackfalds vl (T39 R27 MW4),"Blackfalds, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005013,PLACE_AB197022,AB,Bowden vl (T34 R1 MW5),"Bowden, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005014,PLACE_AB195022,AB,Castor vl (T37 R4 MW4),"Castor, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005015,PLACE_AB196040,AB,Erskine vl (T39 R20 MW4),"Erskine, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005017,PLACE_AB196042,AB,Gadsby vl (T38 R17 MW4),"Gadsby, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005018,PLACE_AB197023,AB,North Red Deer vl (T38 R27 MW4),"North Red Deer, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005019,PLACE_AB196049,AB,Penhold vl (T36 R28 MW4),"Penhold, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005020,PLACE_AB195039,AB,Provost vl (T39 R2 MW4),"Provost, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB005021,PLACE_AB194043,AB,Trochu vl (T33 R23 MW4),"Trochu, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006005,PLACE_AB196023,AB,Wetaskiwin c,"Wetaskiwin, C",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006006,PLACE_AB196025,AB,Camrose t-v,"Camrose, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006007,PLACE_AB196026,AB,Daysland t-v,"Daysland, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006008,PLACE_AB199019,AB,Leduc t-v,"Leduc, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006009,PLACE_AB199023,AB,Tofield t-v,"Tofield, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006010,PLACE_AB195025,AB,Wainwright t-v,"Wainwright, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006011,PLACE_AB196033,AB,Bawlf vl (T46 R18 MW4),"Bawlf, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006012,PLACE_AB196041,AB,Ferintosh vl (T44 R21 MW4),"Ferintosh, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006013,PLACE_AB195024,AB,Hardisty vl (T43 R9 MW4),"Hardisty, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006014,PLACE_AB198025,AB,Holden vl (T49 R16 MW4),"Holden, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006015,PLACE_AB195036,AB,Killam vl (T44 R13 MW4),"Killam, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006016,PLACE_AB196045,AB,Millet vl (T47 R25 MW4),"Millet, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006017,PLACE_AB196047,AB,New Norway vl (T45 R21 MW4),"New Norway, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006018,PLACE_AB196048,AB,Ohaton vl (T46 R19 MW4),"Ohaton, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006019,PLACE_AB198034,AB,Ryley vl (T50 R17 MW4),"Ryley, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006020,PLACE_AB195040,AB,Sedgewick vl (T44 R12 MW4),"Sedgewick, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006021,PLACE_AB195041,AB,Strome vl (T45 R15 MW4),"Strome, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB006022,PLACE_AB195043,AB,Viking vl (T47 R13 MW4),"Viking, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007003,PLACE_AB201024,AB,Indian Reserves,Indian reserves,1911,1911;1921,registry_diff,registry_diff
PLACE_AB007004,PLACE_AB199018,AB,Fort Saskatchewan t-v,"Fort Saskatchewan, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007005,PLACE_AB198021,AB,Vegreville t-v,"Vegreville, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007006,PLACE_AB198022,AB,Vermilion t-v,"Vermilion, T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007007_1911,PLACE_AB198023,AB,Bruederheim vl (T55 R20 MW4),"Bruderheim, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007008,PLACE_AB198026,AB,Innisfree vl (T51 R11 MW4),"Innisfree, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007009,PLACE_AB198027,AB,Islay vl (T51 R10 MW4),"Islay, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007010,PLACE_AB198029,AB,Lamont vl (T55 R19 MW4),"Lamont, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007011,PLACE_AB198030,AB,Lavoy vl (T52 R13 MW4),"Lavoy, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007012,PLACE_AB198020,AB,Lloydminster vl (T50 R1 MW4),"Lloydminster (pt), T-V",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007013,PLACE_AB198031,AB,Mannville vl (T50 R9 MW4),"Mannville, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB007014,PLACE_AB198033,AB,Mundare vl (T53 R16 MW4),"Mundare, VL",1911,1911;1921,registry_diff,registry_diff
PLACE_AB189023_1921,PLACE_AB189023,AB,"Medicine Hat, C","Medicine Hat, C",1921,1911;1921,registry_diff,registry_diff
PLACE_AB189024_1921,PLACE_AB189024,AB,"Bow Island, T-V","Bow Island, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB189025_1921,PLACE_AB189025,AB,"Irvine, T-V","Irvine, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB189026_1921,PLACE_AB189026,AB,"Taber, T-V","Taber, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB189028_1921,PLACE_AB189028,AB,"Grassy Lake, VL","Grassy Lake, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB189031_1921,PLACE_AB189031,AB,"Warner, VL","Warner, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190018_1921,PLACE_AB190018,AB,"Lethbridge, C","Lethbridge, C",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190019_1921,PLACE_AB190019,AB,"Blairmore, T-V","Blairmore, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190020_1921,PLACE_AB190020,AB,"Cardston, T-V","Cardston, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190021_1921,PLACE_AB190021,AB,"Claresholm, T-V","Claresholm, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190022_1921,PLACE_AB190022,AB,"Coleman, T-V","Coleman, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190023_1921,PLACE_AB190023,AB,"Diamond City, T-V","Diamond City, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190024_1921,PLACE_AB190024,AB,"Granum, T-V","Granum, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190025_1921,PLACE_AB190025,AB,"Macleod, T-V","Macleod, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190026_1921,PLACE_AB190026,AB,"Magrath, T-V","Magrath, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190027_1921,PLACE_AB190027,AB,"Pincher Creek, T-V","Pincher Creek, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190028_1921,PLACE_AB190028,AB,"Raymond, T-V","Raymond, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190032_1921,PLACE_AB190032,AB,"Cowley, VL","Cowley, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190033_1921,PLACE_AB190033,AB,"Frank, VL","Frank, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190035_1921,PLACE_AB190035,AB,"Pincher City, VL","Pincher City, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB190036_1921,PLACE_AB190036,AB,"Stirling, VL","Stirling, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB191021_1921,PLACE_AB191021,AB,"Bassano, T-V","Bassano, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB191022_1921,PLACE_AB191022,AB,"Brooks, T-V","Brooks, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB191023_1921,PLACE_AB191023,AB,"Redcliffe, T-V","Redcliffe, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192017_1921,PLACE_AB192017,AB,"Carmangay, T-V","Carmangay, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192018_1921,PLACE_AB192018,AB,"High River, T-V","High River, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192019_1921,PLACE_AB192019,AB,"Nanton, T-V","Nanton, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192020_1921,PLACE_AB192020,AB,"Okotoks, T-V","Okotoks, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192021_1921,PLACE_AB192021,AB,"Staveley, T-V","Staveley, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192023_1921,PLACE_AB192023,AB,"Barons, VL","Barons, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB192025_1921,PLACE_AB192025,AB,"Cayley, VL","Cayley, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB193032_1921,PLACE_AB193032,AB,"Munson, VL","Munson, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194025_1921,PLACE_AB194025,AB,Banff (not inc),Banff (not inc),1921,1911;1921,registry_diff,registry_diff
PLACE_AB194027_1921,PLACE_AB194027,AB,"Didsbury, T-V","Didsbury, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194028_1921,PLACE_AB194028,AB,"Gleichen, T-V","Gleichen, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194029_1921,PLACE_AB194029,AB,"Olds, T-V","Olds, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194030_1921,PLACE_AB194030,AB,"Strathmore, T-V","Strathmore, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194031_1921,PLACE_AB194031,AB,"Acme, VL","Acme, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194032_1921,PLACE_AB194032,AB,"Airdrie, VL","Airdrie, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194035_1921,PLACE_AB194035,AB,"Carstairs, VL","Carstairs, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194036_1921,PLACE_AB194036,AB,"Cochrane, VL","Cochrane, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194037_1921,PLACE_AB194037,AB,"Crossfield, VL","Crossfield, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194039_1921,PLACE_AB194039,AB,"Langdon, VL","Langdon, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB194043_1921,PLACE_AB194043,AB,"Trochu, VL","Trochu, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195022_1921,PLACE_AB195022,AB,"Castor, T-V","Castor, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195024_1921,PLACE_AB195024,AB,"Hardisty, T-V","Hardisty, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195025_1921,PLACE_AB195025,AB,"Wainwright, T-V","Wainwright, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195036_1921,PLACE_AB195036,AB,"Killam, VL","Killam, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195039_1921,PLACE_AB195039,AB,"Provost, VL","Provost, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195040_1921,PLACE_AB195040,AB,"Sedgewick, VL","Sedgewick, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195041_1921,PLACE_AB195041,AB,"Strome, VL","Strome, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB195043_1921,PLACE_AB195043,AB,"Viking, VL","Viking, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196022_1921,PLACE_AB196022,AB,"Red Deer, C","Red Deer, C",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196023_1921,PLACE_AB196023,AB,"Wetaskiwin, C","Wetaskiwin, C",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196025_1921,PLACE_AB196025,AB,"Camrose, T-V","Camrose, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196026_1921,PLACE_AB196026,AB,"Daysland, T-V","Daysland, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196027_1921,PLACE_AB196027,AB,"Innisfail, T-V","Innisfail, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196028_1921,PLACE_AB196028,AB,"Lacombe, T-V","Lacombe, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196029_1921,PLACE_AB196029,AB,"Ponoka, T-V","Ponoka, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196030_1921,PLACE_AB196030,AB,"Stettler, T-V","Stettler, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196031_1921,PLACE_AB196031,AB,"Alix, VL","Alix, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196033_1921,PLACE_AB196033,AB,"Bawlf, VL","Bawlf, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196035_1921,PLACE_AB196035,AB,"Blackfalds, VL","Blackfalds, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196040_1921,PLACE_AB196040,AB,"Erskine, VL","Erskine, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196041_1921,PLACE_AB196041,AB,"Ferintosh, VL","Ferintosh, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196042_1921,PLACE_AB196042,AB,"Gadsby, VL","Gadsby, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196045_1921,PLACE_AB196045,AB,"Millet, VL","Millet, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196047_1921,PLACE_AB196047,AB,"New Norway, VL","New Norway, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196048_1921,PLACE_AB196048,AB,"Ohaton, VL","Ohaton, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB196049_1921,PLACE_AB196049,AB,"Penhold, VL","Penhold, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB197022_1921,PLACE_AB197022,AB,"Bowden, VL","Bowden, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB197023_1921,PLACE_AB197023,AB,"North Red Deer, VL","North Red Deer, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198020_1921,PLACE_AB198020,AB,"Lloydminster (pt), T-V","Lloydminster (pt), T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198021_1921,PLACE_AB198021,AB,"Vegreville, T-V","Vegreville, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198022_1921,PLACE_AB198022,AB,"Vermilion, T-V","Vermilion, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198023_1921,PLACE_AB198023,AB,"Bruderheim, VL","Bruderheim, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198025_1921,PLACE_AB198025,AB,"Holden, VL","Holden, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198026_1921,PLACE_AB198026,AB,"Innisfree, VL","Innisfree, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198027_1921,PLACE_AB198027,AB,"Islay, VL","Islay, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198029_1921,PLACE_AB198029,AB,"Lamont, VL","Lamont, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198030_1921,PLACE_AB198030,AB,"Lavoy, VL","Lavoy, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198031_1921,PLACE_AB198031,AB,"Mannville, VL","Mannville, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198033_1921,PLACE_AB198033,AB,"Mundare, VL","Mundare, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB198034_1921,PLACE_AB198034,AB,"Ryley, VL","Ryley, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199018_1921,PLACE_AB199018,AB,"Fort Saskatchewan, T-V","Fort Saskatchewan, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199019_1921,PLACE_AB199019,AB,"Leduc, T-V","Leduc, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199020_1921,PLACE_AB199020,AB,"Morinville, T-V","Morinville, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199021_1921,PLACE_AB199021,AB,"St. Albert, T-V","St. Albert, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199022_1921,PLACE_AB199022,AB,"Stony Plain, T-V","Stony Plain, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB199023_1921,PLACE_AB199023,AB,"Tofield, T-V","Tofield, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB200024_1921,PLACE_AB200024,AB,"Edson, T-V","Edson, T-V",1921,1911;1921,registry_diff,registry_diff
PLACE_AB200025_1921,PLACE_AB200025,AB,"Entwistle, VL","Entwistle, VL",1921,1911;1921,registry_diff,registry_diff
PLACE_BC001004_1901,PLACE_BC001004_1891,BC,"Vancouver, City—Cité","Vancouver, City—Cité",1891;1901,1891;1901,registry_diff,registry_diff
PLACE_BC002001_1901,PLACE_BC011001,BC,Chilliwak,Chilliwack,1901,1901;1911,registry_diff,registry_diff
PLACE_BC002004,PLACE_BC213004,BC,"New Westminster, City—Cité","New Westminster, C",1891;1901,1891;1901;1911;1921,registry_diff,registry_diff
PLACE_BC003001,PLACE_BC208001,BC,Alberni,Alberni,1891,1891;1901;1911;1921,registry_diff,registry_diff
PLACE_BC003001_1901,PLACE_BC208001,BC,Alberni,Alberni,1901,1891;1901;1911;1921,registry_diff,registry_diff
PLACE_BC003005,PLACE_BC010006,BC,"Nanaimo, City—Cité",Nanaimo c,1891;1901,1901;1911,registry_diff,registry_diff
PLACE_BC003007_1901,PLACE_BC003007,BC,"Nanaimo, South—Sud","Nanaimo, South—Sud",1901,1901,registry_diff,registry_diff
PLACE_BC003009_1901,PLACE_BC003009_1891,BC,"Victoria, South—Sud","Victoria, South—Sud",1901,1891;1901,registry_diff,registry_diff
PLACE_BC004004,PLACE_BC217001,BC,"Victoria, City—Cité",Victoria City,1901,1901;1911;1921,registry_diff,registry_diff
PLACE_BC005005,PLACE_BC014004,BC,Kamloops,Kamloops,1891,1891;1911,registry_diff,registry_diff
PLACE_BC008001,PLACE_BC208001,BC,Alberni,Alberni,1911,1891;1901;1911;1921,registry_diff,registry_diff
PLACE_BC008007_1911,PLACE_BC214004,BC,Prince Rupert c,"Prince Rupert, C",1911,1911;1921,registry_diff,registry_diff
PLACE_BC009002,PLACE_BC210002,BC,Cranbrook,Cranbrook,1911,1911;1921,registry_diff,registry_diff
PLACE_BC009003,PLACE_BC210003,BC,Fernie,Fernie,1911,1911;1921,registry_diff,registry_diff
PLACE_BC009004,PLACE_BC211001,BC,Kaslo,Kaslo,1911,1911;1921,registry_diff,registry_diff
PLACE_BC011003,PLACE_BC209002,BC,Dewdney,Dewdney,1911,1911;1921,registry_diff,registry_diff
PLACE_BC011005_1911,PLACE_BC209003,BC,Yale pt,Yale (pt),1911,1911;1921,registry_diff,registry_diff
PLACE_BC011006,PLACE_BC209005,BC,Chilliwack c,"Chilliwack, C",1911,1911;1921,registry_diff,registry_diff
PLACE_BC012002,PLACE_BC216002,BC,Vancouver S,South Vancouver,1911,1911;1921,registry_diff,registry_diff
PLACE_BC014002,PLACE_BC218001,BC,Grand Forks,Grand Forks,1911,1911;1921,registry_diff,registry_diff
PLACE_BC014003,PLACE_BC218002,BC,Greenwood,Greenwood,1911,1911;1921,registry_diff,registry_diff
PLACE_BC014009,PLACE_BC218007,BC,Enderby c,"Enderby, C",1911,1911;1921,registry_diff,registry_diff
PLACE_BC014013,PLACE_BC218010,BC,Kelowna c,"Kelowna, C",1911,1911;1921,registry_diff,registry_diff
